ms_since_boot,temp_C,press_Pa
219317,26.44,1416.54
220128,26.44,1416.57
220939,26.44,1416.57
221750,26.44,1416.56
222561,26.44,1416.54
223372,26.44,1416.52
224183,26.44,1416.59
224993,26.44,1416.48
225804,26.44,1416.57
226615,26.44,1416.53
227426,26.37,1416.53
228237,26.44,1416.51
229048,26.44,1416.59
229859,26.44,1416.55
230669,26.37,1416.45
231480,26.37,1416.50
232291,26.37,1416.49
233102,26.37,1416.48
233913,26.37,1416.47
234727,26.37,1416.44
235538,26.37,1416.47
236349,26.37,1416.42
237159,26.37,1416.39
237970,26.37,1416.41
238781,26.37,1416.34
239592,26.37,1416.40
240403,26.37,1416.34
241214,26.37,1416.37
242025,26.37,1416.36
242836,26.37,1416.37
243646,26.37,1416.32
244457,26.37,1416.35
245268,26.37,1416.32
246079,26.37,1416.29
246890,26.31,1416.34
247701,26.37,1416.33
248512,26.37,1416.28
249323,26.31,1416.28
250133,26.37,1416.27
250944,26.31,1416.30
251755,26.31,1416.30
252566,26.31,1416.26
253379,26.31,1416.31
254190,26.37,1416.26
255001,26.37,1416.28
255812,26.37,1416.28
256623,26.31,1416.28
257433,26.31,1416.30
258244,26.31,1416.28
259055,26.31,1416.25
259865,26.31,1416.26
260676,26.31,1416.27
261487,26.31,1416.25
262298,26.31,1416.22
263108,26.31,1416.22
263919,26.31,1416.19
264730,26.31,1416.16
265541,26.31,1416.15
266352,26.31,1416.19
267162,26.31,1416.15
267973,26.31,1416.17
268784,26.31,1416.16
269595,26.31,1416.19
270405,26.31,1416.14
271216,26.31,1416.17
272027,26.31,1416.16
272841,26.31,1416.11
273652,26.31,1416.09
274462,26.31,1416.16
275273,26.31,1416.11
276084,26.31,1416.16
276895,26.25,1416.09
277706,26.25,1416.10
278516,26.31,1416.10
279327,26.31,1416.11
280138,26.31,1416.09
280949,26.25,1416.09
281759,26.25,1416.03
282570,26.25,1416.08
283381,26.25,1416.06
284192,26.25,1416.07
285002,26.25,1416.05
285813,26.25,1416.02
286624,26.25,1416.02
287435,26.25,1416.00
288246,26.25,1416.00
289056,26.25,1416.04
289867,26.25,1415.98
290678,26.25,1416.02
291492,26.25,1415.98
292303,26.25,1416.04
293113,26.25,1415.99
293924,26.25,1415.99
294735,26.25,1415.97
295546,26.25,1415.96
296357,26.25,1415.96
297167,26.25,1415.94
297978,26.25,1415.98
298789,26.25,1415.94
299600,26.25,1415.96
300411,26.25,1415.98
301221,26.25,1415.97
302032,26.25,1415.92
302843,26.25,1415.96
303654,26.25,1415.94
304465,26.25,1415.96
305275,26.25,1415.98
306086,26.25,1415.97
306897,26.25,1415.91
307708,26.25,1415.98
308518,26.25,1415.94
309329,26.25,1415.96
310143,26.25,1415.97
310954,26.25,1415.93
311765,26.25,1415.94
312576,26.25,1415.96
313387,26.25,1415.96
314198,26.25,1415.98
315009,26.25,1415.94
315820,26.25,1415.96
316631,26.25,1415.94
317442,26.25,1415.96
318253,26.25,1416.00
319064,26.25,1415.95
319875,26.25,1415.93
320686,26.25,1415.96
321497,26.25,1415.93
322308,26.25,1415.93
323119,26.25,1415.93
323930,26.25,1415.91
324741,26.25,1415.93
325552,26.25,1415.94
326363,26.25,1415.95
327175,26.25,1415.94
327985,26.25,1415.98
328800,26.25,1415.94
329611,26.25,1415.96
330422,26.25,1415.91
331233,26.25,1415.97
332044,26.25,1415.93
332855,26.25,1415.93
333666,26.25,1415.91
334477,26.25,1415.92
335289,26.25,1415.90
336100,26.25,1415.91
336911,26.25,1415.91
337722,26.25,1415.89
338533,26.19,1415.90
339344,26.19,1415.89
340155,26.19,1415.90
340966,26.19,1415.84
341778,26.19,1415.90
342589,26.19,1415.87
343400,26.19,1415.85
344211,26.19,1415.85
345022,26.19,1415.85
345833,26.19,1415.89
