ms_since_boot,temp_C,press_Pa
222753,27.50,1420.09
223564,27.50,1420.06
224374,27.50,1420.04
225185,27.50,1420.10
225995,27.50,1420.04
226806,27.50,1420.08
227617,27.50,1420.04
228427,27.50,1420.03
229238,27.50,1420.02
230048,27.50,1420.02
230859,27.50,1420.02
231669,27.50,1420.00
232480,27.50,1419.96
233290,27.50,1419.96
234101,27.50,1419.99
234912,27.50,1419.95
235722,27.50,1419.99
236536,27.50,1419.97
237346,27.44,1419.97
238157,27.44,1419.93
238968,27.44,1419.91
239778,27.50,1419.93
240589,27.44,1419.90
241399,27.44,1419.86
242210,27.44,1419.91
243020,27.44,1419.88
243831,27.44,1419.91
244642,27.44,1419.91
245452,27.44,1419.85
246263,27.44,1419.83
247073,27.44,1419.89
247884,27.44,1419.86
248695,27.44,1419.86
249505,27.44,1419.86
250316,27.44,1419.86
251126,27.44,1419.79
251937,27.44,1419.84
252748,27.44,1419.82
253558,27.44,1419.81
254369,27.44,1419.83
255179,27.44,1419.81
255993,27.44,1419.79
256804,27.44,1419.78
257614,27.44,1419.77
258425,27.44,1419.73
259235,27.44,1419.78
260046,27.44,1419.74
260857,27.44,1419.71
261667,27.37,1419.77
262478,27.44,1419.74
263288,27.37,1419.71
264099,27.37,1419.74
264909,27.37,1419.70
265720,27.37,1419.71
266531,27.44,1419.73
267341,27.37,1419.69
268152,27.37,1419.70
268962,27.37,1419.71
269773,27.37,1419.71
270583,27.37,1419.67
271394,27.37,1419.63
272205,27.37,1419.64
273015,27.37,1419.62
273826,27.37,1419.63
274639,27.37,1419.65
275450,27.37,1419.63
276260,27.37,1419.63
277071,27.37,1419.59
277882,27.37,1419.59
278692,27.37,1419.60
279503,27.37,1419.61
280313,27.37,1419.59
281124,27.37,1419.59
281934,27.37,1419.55
282745,27.37,1419.54
283556,27.31,1419.55
284366,27.37,1419.58
285177,27.31,1419.52
285987,27.31,1419.51
286798,27.37,1419.53
287609,27.31,1419.51
288419,27.31,1419.52
289230,27.31,1419.47
290040,27.31,1419.45
290851,27.31,1419.49
291662,27.31,1419.51
292472,27.31,1419.54
293286,27.31,1419.43
294096,27.31,1419.44
294907,27.31,1419.45
295717,27.31,1419.46
296528,27.31,1419.47
297338,27.31,1419.42
298149,27.31,1419.41
298959,27.31,1419.40
299770,27.31,1419.38
300580,27.31,1419.38
301391,27.31,1419.40
302201,27.31,1419.38
303012,27.31,1419.39
303822,27.31,1419.37
304633,27.31,1419.32
305443,27.31,1419.35
306254,27.31,1419.32
307064,27.31,1419.32
307875,27.25,1419.35
308685,27.25,1419.32
309496,27.25,1419.30
310306,27.25,1419.31
311117,27.25,1419.33
311930,27.25,1419.30
312741,27.25,1419.31
313552,27.25,1419.24
314363,27.25,1419.25
315173,27.25,1419.25
315984,27.25,1419.21
316795,27.25,1419.25
317606,27.25,1419.23
318417,27.25,1419.23
319227,27.25,1419.19
320038,27.25,1419.19
320849,27.25,1419.19
321660,27.25,1419.18
322471,27.25,1419.19
323281,27.25,1419.17
324092,27.25,1419.13
324903,27.25,1419.14
325714,27.25,1419.17
326525,27.25,1419.13
327335,27.19,1419.12
328146,27.19,1419.09
328957,27.19,1419.13
329768,27.19,1419.11
330579,27.19,1419.08
331392,27.19,1419.11
332203,27.19,1419.08
333014,27.19,1419.09
333825,27.19,1419.05
334636,27.19,1419.02
335447,27.19,1419.05
336258,27.19,1419.04
337068,27.19,1419.03
337879,27.19,1419.03
338690,27.19,1418.98
339501,27.19,1419.01
340312,27.19,1418.99
341123,27.19,1418.97
341934,27.19,1418.94
342744,27.12,1419.02
343555,27.19,1418.94
344366,27.19,1419.00
345177,27.19,1418.96
345988,27.12,1418.96
346799,27.12,1418.91
347618,27.19,1418.93
348429,27.12,1418.92
349240,27.12,1418.90
350053,27.12,1418.92
350864,27.12,1418.91
351675,27.12,1418.88
352486,27.12,1418.85
353297,27.12,1418.85
354107,27.12,1418.82
354918,27.12,1418.87
355729,27.12,1418.84
356539,27.12,1418.84
357350,27.12,1418.87
358161,27.12,1418.83
358972,27.12,1418.82
359782,27.12,1418.80
360593,27.12,1418.77
361404,27.12,1418.82
362215,27.12,1418.76
363025,27.12,1418.82
363836,27.12,1418.79
364647,27.12,1418.74
365458,27.06,1418.72
366268,27.06,1418.74
367079,27.12,1418.68
367890,27.12,1418.78
368704,27.06,1418.68
369515,27.06,1418.69
370325,27.06,1418.68
371136,27.06,1418.67
371947,27.06,1418.66
372758,27.06,1418.69
373569,27.06,1418.67
374379,27.06,1418.68
375190,27.06,1418.62
376001,27.06,1418.66
376812,27.06,1418.63
377623,27.06,1418.62
378433,27.06,1418.61
379244,27.06,1418.64
380055,27.06,1418.65
380865,27.06,1418.60
381676,27.06,1418.57
382487,27.06,1418.57
383298,27.06,1418.56
384109,27.00,1418.59
384919,27.06,1418.52
385730,27.00,1418.56
386541,27.06,1418.55
387352,27.00,1418.53
388160,27.00,1418.54
388971,27.00,1418.46
389782,27.00,1418.53
390593,27.00,1418.48
391404,27.00,1418.47
392214,27.00,1418.49
393025,27.00,1418.48
393836,27.00,1418.46
394647,27.00,1418.42
395458,27.00,1418.41
396269,27.00,1418.44
397079,27.00,1418.45
397890,27.00,1418.40
398701,27.00,1418.40
399512,27.00,1418.35
400323,27.00,1418.41
401134,27.00,1418.38
401944,27.00,1418.40
402755,27.00,1418.39
403566,27.00,1418.31
404377,27.00,1418.33
405187,26.94,1418.36
405998,27.00,1418.31
406812,26.94,1418.30
407623,26.94,1418.28
408433,26.94,1418.27
409244,26.94,1418.27
410055,26.94,1418.28
410866,26.94,1418.27
411676,26.94,1418.24
412487,26.94,1418.24
413298,26.94,1418.22
414109,26.94,1418.22
414919,26.94,1418.19
415730,26.94,1418.29
416541,26.94,1418.21
417352,26.94,1418.19
418163,26.94,1418.17
418973,26.94,1418.16
419784,26.94,1418.19
420595,26.94,1418.19
421406,26.94,1418.15
422217,26.94,1418.15
423027,26.87,1418.12
423838,26.87,1418.11
424649,26.87,1418.11
425463,26.94,1418.12
426273,26.87,1418.11
427084,26.87,1418.08
427895,26.87,1418.06
428706,26.87,1418.09
429517,26.87,1418.04
430327,26.87,1418.02
431138,26.87,1418.02
431949,26.87,1418.02
432760,26.87,1418.03
433571,26.87,1418.03
